iter	Passed	Remaining
974	4398	112
975	4402	108
976	4407	103
977	4414	99
978	4418	94
979	4423	90
980	4429	85
981	4433	81
982	4436	76
983	4443	72
984	4448	67
985	4451	63
986	4456	58
987	4461	54
988	4464	49
989	4469	45
990	4475	40
991	4479	36
992	4484	31
993	4490	27
994	4493	22
995	4498	18
996	4508	13
997	4516	9
998	4527	4
999	4534	0
